Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,current,2024-11-01,2025-03-31,1,595868,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,current,2024-11-01,2025-03-31,2,463453,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,current,2024-11-01,2025-03-31,3,198623,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,current,2024-11-01,2025-03-31,4,66208,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,first projection,2025-04-01,2025-07-31,all,1324152,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,first projection,2025-04-01,2025-07-31,3+,264830,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,first projection,2025-04-01,2025-07-31,1,595868,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,first projection,2025-04-01,2025-07-31,2,463453,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,first projection,2025-04-01,2025-07-31,3,264830,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Bajaur,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,current,2024-11-01,2025-03-31,all,200298,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,current,2024-11-01,2025-03-31,3+,50075,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,current,2024-11-01,2025-03-31,1,100149,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,current,2024-11-01,2025-03-31,2,50075,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,current,2024-11-01,2025-03-31,3,40060,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,current,2024-11-01,2025-03-31,4,10015,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,first projection,2025-04-01,2025-07-31,all,200298,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,first projection,2025-04-01,2025-07-31,3+,50075,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,first projection,2025-04-01,2025-07-31,1,100149,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,first projection,2025-04-01,2025-07-31,2,50075,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,first projection,2025-04-01,2025-07-31,3,40060,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,first projection,2025-04-01,2025-07-31,4,10015,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Chitral Upper,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,current,2024-11-01,2025-03-31,all,1476443,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,current,2024-11-01,2025-03-31,3+,369111,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,current,2024-11-01,2025-03-31,1,738222,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,current,2024-11-01,2025-03-31,2,369111,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,current,2024-11-01,2025-03-31,3,295289,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,current,2024-11-01,2025-03-31,4,73822,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,first projection,2025-04-01,2025-07-31,all,1476443,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,first projection,2025-04-01,2025-07-31,3+,295288,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,first projection,2025-04-01,2025-07-31,1,738222,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,first projection,2025-04-01,2025-07-31,2,442933,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,first projection,2025-04-01,2025-07-31,3,221466,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,first projection,2025-04-01,2025-07-31,4,73822,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Dera Ismail Khan,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,current,2024-11-01,2025-03-31,all,818108,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,current,2024-11-01,2025-03-31,3+,204527,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,current,2024-11-01,2025-03-31,1,327243,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,current,2024-11-01,2025-03-31,2,286338,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,current,2024-11-01,2025-03-31,3,163622,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,current,2024-11-01,2025-03-31,4,40905,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,first projection,2025-04-01,2025-07-31,all,818108,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,first projection,2025-04-01,2025-07-31,3+,204527,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,first projection,2025-04-01,2025-07-31,1,327243,0.4
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,first projection,2025-04-01,2025-07-31,2,286338,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,first projection,2025-04-01,2025-07-31,3,163622,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,first projection,2025-04-01,2025-07-31,4,40905,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kurram,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,current,2024-11-01,2025-03-31,all,348109,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,current,2024-11-01,2025-03-31,3+,87027,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,current,2024-11-01,2025-03-31,1,156649,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,current,2024-11-01,2025-03-31,2,104433,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,current,2024-11-01,2025-03-31,3,69622,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,current,2024-11-01,2025-03-31,4,17405,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,first projection,2025-04-01,2025-07-31,all,348109,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,first projection,2025-04-01,2025-07-31,3+,87027,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,first projection,2025-04-01,2025-07-31,1,156649,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,first projection,2025-04-01,2025-07-31,2,104433,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,first projection,2025-04-01,2025-07-31,3,69622,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,first projection,2025-04-01,2025-07-31,4,17405,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kohistan Lower,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,current,2024-11-01,2025-03-31,all,568501,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,current,2024-11-01,2025-03-31,3+,113700,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,current,2024-11-01,2025-03-31,1,255825,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,current,2024-11-01,2025-03-31,2,198975,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,current,2024-11-01,2025-03-31,3,85275,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,current,2024-11-01,2025-03-31,4,28425,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,first projection,2025-04-01,2025-07-31,all,568501,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,first projection,2025-04-01,2025-07-31,3+,113700,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,first projection,2025-04-01,2025-07-31,1,198975,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,first projection,2025-04-01,2025-07-31,2,255825,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,first projection,2025-04-01,2025-07-31,3,113700,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Mohmand,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,current,2024-11-01,2025-03-31,all,718767,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,current,2024-11-01,2025-03-31,3+,179691,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,current,2024-11-01,2025-03-31,1,359384,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,current,2024-11-01,2025-03-31,2,179692,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,current,2024-11-01,2025-03-31,3,143753,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,current,2024-11-01,2025-03-31,4,35938,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,first projection,2025-04-01,2025-07-31,all,718767,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,first projection,2025-04-01,2025-07-31,3+,179691,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,first projection,2025-04-01,2025-07-31,1,359384,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,first projection,2025-04-01,2025-07-31,2,179692,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,first projection,2025-04-01,2025-07-31,3,143753,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,first projection,2025-04-01,2025-07-31,4,35938,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,North Waziristan,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,current,2024-11-01,2025-03-31,all,1035724,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,current,2024-11-01,2025-03-31,3+,258931,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,current,2024-11-01,2025-03-31,1,466076,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,current,2024-11-01,2025-03-31,2,310717,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,current,2024-11-01,2025-03-31,3,207145,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,current,2024-11-01,2025-03-31,4,51786,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,first projection,2025-04-01,2025-07-31,all,1035724,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,first projection,2025-04-01,2025-07-31,3+,207145,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,first projection,2025-04-01,2025-07-31,1,466076,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,first projection,2025-04-01,2025-07-31,2,362503,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,first projection,2025-04-01,2025-07-31,3,207145,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Upper Dir,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,current,2024-11-01,2025-03-31,all,776682,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,current,2024-11-01,2025-03-31,3+,155336,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,current,2024-11-01,2025-03-31,1,466009,0.6
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,current,2024-11-01,2025-03-31,2,155336,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,current,2024-11-01,2025-03-31,3,116502,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,current,2024-11-01,2025-03-31,4,38834,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,first projection,2025-04-01,2025-07-31,all,776682,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,first projection,2025-04-01,2025-07-31,3+,155336,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,first projection,2025-04-01,2025-07-31,1,466009,0.6
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,first projection,2025-04-01,2025-07-31,2,155336,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,first projection,2025-04-01,2025-07-31,3,155336,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Karak,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,current,2024-11-01,2025-03-31,all,286830,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,current,2024-11-01,2025-03-31,3+,86050,0.3
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,current,2024-11-01,2025-03-31,1,71708,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,current,2024-11-01,2025-03-31,2,129074,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,current,2024-11-01,2025-03-31,3,71708,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,current,2024-11-01,2025-03-31,4,14342,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,first projection,2025-04-01,2025-07-31,all,286830,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,first projection,2025-04-01,2025-07-31,3+,71708,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,first projection,2025-04-01,2025-07-31,1,71708,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,first projection,2025-04-01,2025-07-31,2,143415,0.5
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,first projection,2025-04-01,2025-07-31,3,71708,0.25
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Kolai palas kohistan,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,current,2024-11-01,2025-03-31,all,292060,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,current,2024-11-01,2025-03-31,3+,73015,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,current,2024-11-01,2025-03-31,1,116824,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,current,2024-11-01,2025-03-31,2,102221,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,current,2024-11-01,2025-03-31,3,58412,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,current,2024-11-01,2025-03-31,4,14603,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,first projection,2025-04-01,2025-07-31,all,292060,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,first projection,2025-04-01,2025-07-31,3+,73015,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,first projection,2025-04-01,2025-07-31,1,116824,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,first projection,2025-04-01,2025-07-31,2,102221,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,first projection,2025-04-01,2025-07-31,3,58412,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,first projection,2025-04-01,2025-07-31,4,14603,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Usta muhammad,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,current,2024-11-01,2025-03-31,all,186551,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,current,2024-11-01,2025-03-31,3+,46638,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,current,2024-11-01,2025-03-31,1,83948,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,current,2024-11-01,2025-03-31,2,55965,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,current,2024-11-01,2025-03-31,3,37310,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,current,2024-11-01,2025-03-31,4,9328,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,first projection,2025-04-01,2025-07-31,all,186551,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,first projection,2025-04-01,2025-07-31,3+,46638,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,first projection,2025-04-01,2025-07-31,1,83948,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,first projection,2025-04-01,2025-07-31,2,55965,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,first projection,2025-04-01,2025-07-31,3,37310,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,first projection,2025-04-01,2025-07-31,4,9328,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Jhal Magsi,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,current,2024-11-01,2025-03-31,all,232410,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,current,2024-11-01,2025-03-31,3+,58103,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,current,2024-11-01,2025-03-31,1,92964,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,current,2024-11-01,2025-03-31,2,81344,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,current,2024-11-01,2025-03-31,3,46482,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,current,2024-11-01,2025-03-31,4,11621,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,first projection,2025-04-01,2025-07-31,all,232410,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,first projection,2025-04-01,2025-07-31,3+,46483,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,first projection,2025-04-01,2025-07-31,1,116205,0.5
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,first projection,2025-04-01,2025-07-31,2,69723,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,first projection,2025-04-01,2025-07-31,3,34862,0.15
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,first projection,2025-04-01,2025-07-31,4,11621,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Sohbatpur,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,current,2024-11-01,2025-03-31,all,162730,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,current,2024-11-01,2025-03-31,3+,32546,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,current,2024-11-01,2025-03-31,1,73229,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,current,2024-11-01,2025-03-31,2,56956,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,current,2024-11-01,2025-03-31,3,32546,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,current,2024-11-01,2025-03-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,first projection,2025-04-01,2025-07-31,all,162730,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,first projection,2025-04-01,2025-07-31,3+,56956,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,first projection,2025-04-01,2025-07-31,1,48819,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,first projection,2025-04-01,2025-07-31,2,56956,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,first projection,2025-04-01,2025-07-31,3,48819,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,first projection,2025-04-01,2025-07-31,4,8137,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Sibi,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,current,2024-11-01,2025-03-31,all,376699,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,current,2024-11-01,2025-03-31,3+,94175,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,current,2024-11-01,2025-03-31,1,150680,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,current,2024-11-01,2025-03-31,2,131845,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,current,2024-11-01,2025-03-31,3,75340,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,current,2024-11-01,2025-03-31,4,18835,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,first projection,2025-04-01,2025-07-31,all,376699,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,first projection,2025-04-01,2025-07-31,3+,94175,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,first projection,2025-04-01,2025-07-31,1,150680,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,first projection,2025-04-01,2025-07-31,2,131845,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,first projection,2025-04-01,2025-07-31,3,94175,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Panjgur,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,current,2024-11-01,2025-03-31,all,194466,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,current,2024-11-01,2025-03-31,3+,48616,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,current,2024-11-01,2025-03-31,1,77786,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,current,2024-11-01,2025-03-31,2,68063,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,current,2024-11-01,2025-03-31,3,38893,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,current,2024-11-01,2025-03-31,4,9723,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,first projection,2025-04-01,2025-07-31,all,194466,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,first projection,2025-04-01,2025-07-31,3+,48616,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,first projection,2025-04-01,2025-07-31,1,77786,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,first projection,2025-04-01,2025-07-31,2,68063,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,first projection,2025-04-01,2025-07-31,3,38893,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,first projection,2025-04-01,2025-07-31,4,9723,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Kharan,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,current,2024-11-01,2025-03-31,all,1060931,1.0
